Date,Open,High,Low,Close,Adj_close,Volume
2/1/62,6.53215504,6.55618477,6.53215504,6.53215504,1.53665757,55900
3/1/62,6.53215504,6.63227987,6.52414513,6.63227987,1.56021178,74500
4/1/62,6.63227987,6.66431999,6.63227987,6.63227987,1.56021178,80500
5/1/62,6.63227987,6.65631008,6.61626005,6.62426996,1.55832648,70500
8/1/62,6.60825014,6.60825014,6.3399148,6.40799999,1.50745034,93800
9/1/62,6.40799999,6.50812483,6.3559351,6.3559351,1.49520242,64500
10/1/62,6.3559351,6.40799999,6.3399148,6.36394501,1.49708712,34500
11/1/62,6.34792519,6.34792519,6.32389498,6.3399148,1.49143362,27900
12/1/62,6.3399148,6.34792519,6.20774984,6.20774984,1.46034312,26500
15/1/62,6.13966513,6.13966513,6.05556011,6.05556011,1.4245404,64500
16/1/62,6.03953981,6.03953981,6.00750017,6.00750017,1.41323447,27900
17/1/62,6.00750017,6.02351999,6.00750017,6.00750017,1.41323447,79900
18/1/62,6.00750017,6.00750017,6.00750017,6.00750017,1.41323447,89800
19/1/62,6.00750017,6.0475502,6.00750017,6.02351999,1.4170028,100400
22/1/62,6.03953981,6.13165522,6.03953981,6.03953981,1.42077172,69900
23/1/62,6.03953981,6.11563492,6.01551008,6.01551008,1.41511905,34500
24/1/62,6.01551008,6.01551008,5.83929014,5.9554348,1.40098608,45900
25/1/62,5.9554348,5.96344519,5.91538477,5.91538477,1.39156508,37900
26/1/62,5.91538477,5.93140507,5.91538477,5.93140507,1.39533436,37900
29/1/62,5.93140507,5.9554348,5.91538477,5.92339516,1.39344859,42500
30/1/62,5.93140507,5.96344519,5.93140507,5.96344519,1.40287101,30500
31/1/62,5.96344519,6.00750017,5.94742489,5.9554348,1.40098608,55900
1/2/62,5.94742489,5.94742489,5.85530996,5.93140507,1.39533436,67900
2/2/62,5.93140507,5.9554348,5.90737486,5.91538477,1.39156508,30500
5/2/62,5.93941498,5.96344519,5.93941498,5.93941498,1.39721799,72500
6/2/62,5.91538477,5.91538477,5.82326984,5.85530996,1.38443482,40500
7/2/62,5.86331987,5.93941498,5.86331987,5.91538477,1.39863992,45900
8/2/62,5.91538477,5.93140507,5.83929014,5.86331987,1.38632929,51900
9/2/62,5.86331987,5.92339516,5.82326984,5.82326984,1.3768599,33900
12/2/62,5.82326984,5.83128023,5.81525993,5.81525993,1.37496543,16600
13/2/62,5.85530996,5.91538477,5.85530996,5.86331987,1.38632929,62500
14/2/62,5.83929014,5.83929014,5.74717522,5.80725002,1.37307131,56500
15/2/62,5.80725002,5.90737486,5.73916483,5.73916483,1.35697401,62500
16/2/62,5.73916483,5.83128023,5.73916483,5.83128023,1.37875354,55900
19/2/62,5.83929014,5.90737486,5.83929014,5.86331987,1.38632929,29900
20/2/62,5.86331987,5.96344519,5.84730005,5.96344519,1.41000271,40500
21/2/62,6.00750017,6.13165522,6.00750017,6.0315299,1.42610073,56500
23/2/62,6.0315299,6.06357002,6.02351999,6.05556011,1.43178236,72500
26/2/62,6.05556011,6.10762501,5.9554348,6.10762501,1.44409263,82500
27/2/62,6.10762501,6.12364483,6.10762501,6.10762501,1.44409263,27900
28/2/62,6.10762501,6.22377014,6.03953981,6.03953981,1.42799437,47900
1/3/62,6.03953981,6.30787516,6.02351999,6.25580978,1.47912908,74500
2/3/62,6.25580978,6.3559351,6.25580978,6.33190489,1.49712014,41900
5/3/62,6.33190489,6.4320302,6.33190489,6.42401981,1.51890063,56500
6/3/62,6.4320302,6.50812483,6.4320302,6.46406984,1.52837098,75900
7/3/62,6.46406984,6.52414513,6.44805002,6.44805002,1.52458262,45900
8/3/62,6.44805002,6.46406984,6.42401981,6.44805002,1.52458262,41900
9/3/62,6.44805002,6.50812483,6.44805002,6.46406984,1.52837098,72500
12/3/62,6.52414513,6.64830017,6.52414513,6.63227987,1.56814265,54500
13/3/62,6.63227987,6.64830017,6.56419516,6.64028978,1.57003593,36500
14/3/62,6.64028978,6.65631008,6.64028978,6.64830017,1.57193089,55900
15/3/62,6.64830017,6.7243948,6.64830017,6.64830017,1.57193089,41900
16/3/62,6.66431999,6.7243948,6.66431999,6.70837498,1.58613503,50500
19/3/62,6.65631008,6.65631008,6.44805002,6.50812483,1.53878725,75900
20/3/62,6.50812483,6.54016495,6.50812483,6.52414513,1.54257536,25900
21/3/62,6.52414513,6.64028978,6.52414513,6.62426996,1.56624746,42500
22/3/62,6.64028978,6.76444483,6.64028978,6.76444483,1.59939194,57900
23/3/62,6.76444483,6.84053993,6.73240519,6.7404151,1.59371018,65900
26/3/62,6.7404151,6.75643492,6.7404151,6.7404151,1.59371018,32500
27/3/62,6.7404151,6.7404151,6.62426996,6.62426996,1.56624746,43900
28/3/62,6.62426996,6.64028978,6.56419516,6.60825014,1.56245971,36500
29/3/62,6.54817486,6.54817486,6.45605993,6.45605993,1.52647531,32500
30/3/62,6.44805002,6.44805002,6.31588507,6.36394501,1.50469673,63900
2/4/62,6.36394501,6.40799999,6.3399148,6.34792519,1.50090837,38500
3/4/62,6.34792519,6.52414513,6.3399148,6.52414513,1.54257536,22500
4/4/62,6.53215504,6.56419516,6.53215504,6.53215504,1.54446876,14600
5/4/62,6.53215504,6.53215504,6.40799999,6.45605993,1.52647531,85800
6/4/62,6.46406984,6.54817486,6.46406984,6.46406984,1.52837098,43900
9/4/62,6.44004011,6.44004011,6.40799999,6.44004011,1.52268863,35900
10/4/62,6.44004011,6.45605993,6.3559351,6.40799999,1.51511288,8600
11/4/62,6.40799999,6.44004011,6.31588507,6.31588507,1.49333465,38500
12/4/62,6.31588507,6.3399148,6.30787516,6.33190489,1.49712014,52500
13/4/62,6.33190489,6.3559351,6.30787516,6.33190489,1.49712014,63900
16/4/62,6.33190489,6.34792519,6.30787516,6.34792519,1.50090837,37900
17/4/62,6.34792519,6.4160099,6.3399148,6.4160099,1.51700854,45900
18/4/62,6.4160099,6.44805002,6.3399148,6.3559351,1.50280321,41900
19/4/62,6.3559351,6.44805002,6.3399148,6.34792519,1.50090837,55900
23/4/62,6.3559351,6.44004011,6.3559351,6.42401981,1.51890063,78500
24/4/62,6.44004011,6.50812483,6.44004011,6.44004011,1.52268863,46500
25/4/62,6.44004011,6.44004011,6.23978996,6.23978996,1.47534192,51900
26/4/62,6.23978996,6.23978996,6.14767504,6.14767504,1.45356131,65900
27/4/62,6.14767504,6.25580978,6.14767504,6.15568495,1.45545626,43900
30/4/62,6.15568495,6.16369486,6.12364483,6.13165522,1.44977415,49900
1/5/62,6.13165522,6.13165522,6.06357002,6.13165522,1.44977415,57900
2/5/62,6.13165522,6.13966513,5.9554348,6.00750017,1.42041934,42500
3/5/62,6.0315299,6.10762501,6.0315299,6.10762501,1.44409263,23900
4/5/62,6.06357002,6.06357002,5.93941498,5.9554348,1.40810871,29900
7/5/62,5.93941498,5.93941498,5.75518513,5.81525993,1.37496543,66500
8/5/62,5.81525993,5.82326984,5.73115492,5.73115492,1.35507929,69900
9/5/62,5.70712519,5.70712519,5.62302017,5.6630702,1.33898103,65900
10/5/62,5.6630702,5.73916483,5.60699987,5.62302017,1.32951212,82500
11/5/62,5.62302017,5.65505981,5.56294489,5.60699987,1.3257252,41900
14/5/62,5.60699987,5.63903999,5.45481014,5.63903999,1.33330071,61900
15/5/62,5.63903999,5.72314501,5.63903999,5.65505981,1.34424949,82500
16/5/62,5.65505981,5.65505981,5.45481014,5.52289486,1.31283224,83800
17/5/62,5.52289486,5.53090477,5.43077993,5.43878984,1.29283845,62500
18/5/62,5.43878984,5.44680023,5.42277002,5.42277002,1.28903079,35900
21/5/62,5.42277002,5.45481014,5.42277002,5.42277002,1.28903079,13900
22/5/62,5.42277002,5.44680023,5.42277002,5.43878984,1.29283845,26500
23/5/62,5.43077993,5.43077993,5.4067502,5.41476011,1.28712702,37900
24/5/62,5.41476011,5.44680023,5.30662489,5.30662489,1.26142275,45900
25/5/62,5.30662489,5.3146348,5.22251987,5.23854017,1.24523854,47900
28/5/62,5.23854017,5.4067502,5.20650005,5.20650005,1.23762238,84500
29/5/62,5.20650005,5.43878984,4.91413498,5.43878984,1.29283845,120400
31/5/62,5.43878984,5.50687504,5.30662489,5.46282005,1.29855204,53900
1/6/62,5.46282005,5.46282005,5.43878984,5.46282005,1.29855204,76500
4/6/62,5.46282005,5.53891516,5.44680023,5.45481014,1.29664779,79900
5/6/62,5.45481014,5.60699987,5.44680023,5.51488495,1.31092763,58500
