Date,Open,High,Low,Close,Adj_close,Volume
1980-12-12,0.51339287,0.515625,0.51339287,0.51339287,0.40678155,117258400
1980-12-15,0.4888393,0.4888393,0.48660713,0.48660713,0.38555816,43971200
1980-12-16,0.453125,0.453125,0.45089287,0.45089287,0.35726029,26432000
1980-12-17,0.46205357,0.4642857,0.46205357,0.46205357,0.36610335,21610400
1980-12-18,0.47544643,0.47767857,0.47544643,0.47544643,0.37671515,18362400
1980-12-19,0.50446427,0.5066964,0.50446427,0.50446427,0.39970708,12157600
1980-12-22,0.52901787,0.53125,0.52901787,0.52901787,0.41916189,9340800
1980-12-23,0.55133927,0.5535714,0.55133927,0.55133927,0.43684795,11737600
1980-12-24,0.58035713,0.58258927,0.58035713,0.58035713,0.45983988,12000800
1980-12-26,0.6339286,0.63616073,0.6339286,0.6339286,0.50228679,13893600
1980-12-29,0.64285713,0.64508927,0.64285713,0.64285713,0.50936121,23290400
1980-12-30,0.62946427,0.62946427,0.62723213,0.62723213,0.49698094,17220000
1980-12-31,0.61160713,0.61160713,0.609375,0.609375,0.48283201,8937600
1981-01-02,0.6160714,0.62053573,0.6160714,0.6160714,0.48813766,5415200
1981-01-05,0.60491073,0.60491073,0.6026786,0.6026786,0.47752622,8932000
1981-01-06,0.578125,0.578125,0.57589287,0.57589287,0.4563027,11289600
1981-01-07,0.5535714,0.5535714,0.55133927,0.55133927,0.43684795,13921600
1981-01-08,0.54241073,0.54241073,0.5401786,0.5401786,0.42800483,9956800
1981-01-09,0.5691964,0.5714286,0.5691964,0.5691964,0.45099685,5376000
1981-01-12,0.5691964,0.5691964,0.56473213,0.56473213,0.44745976,5924800
1981-01-13,0.546875,0.546875,0.54464287,0.54464287,0.43154207,5762400
1981-01-14,0.546875,0.54910713,0.546875,0.546875,0.43331066,3572800
1981-01-15,0.55803573,0.5625,0.55803573,0.55803573,0.44215372,3516800
1981-01-16,0.5558036,0.5558036,0.5535714,0.5535714,0.43861657,3348800
1981-01-19,0.5870536,0.58928573,0.5870536,0.5870536,0.46514589,10393600
1981-01-20,0.5714286,0.5714286,0.5691964,0.5691964,0.45099685,7520800
1981-01-21,0.58035713,0.5848214,0.58035713,0.58035713,0.45983988,3976000
1981-01-22,0.5870536,0.59151787,0.5870536,0.5870536,0.46514589,8887200
1981-01-23,0.5870536,0.58928573,0.5848214,0.5848214,0.46337721,2805600
1981-01-26,0.578125,0.578125,0.57589287,0.57589287,0.4563027,6160000
1981-01-27,0.57589287,0.57589287,0.5714286,0.5714286,0.45276558,5924800
1981-01-28,0.5558036,0.5558036,0.5535714,0.5535714,0.43861657,7039200
1981-01-29,0.53571427,0.53571427,0.53348213,0.53348213,0.42269906,10976000
1981-01-30,0.5089286,0.5089286,0.50446427,0.50446427,0.39970708,11547200
1981-02-02,0.47767857,0.47767857,0.47544643,0.47544643,0.37671515,5941600
1981-02-03,0.49330357,0.4955357,0.49330357,0.49330357,0.39086396,4788000
1981-02-04,0.51116073,0.51339287,0.51116073,0.51116073,0.40501297,6966400
1981-02-05,0.51116073,0.515625,0.51116073,0.51116073,0.40501297,1982400
1981-02-06,0.51339287,0.515625,0.51339287,0.51339287,0.40678155,3466400
1981-02-09,0.49107143,0.49107143,0.48660713,0.48660713,0.38555816,4188800
1981-02-10,0.48660713,0.4888393,0.48660713,0.48660713,0.38555816,4586400
1981-02-11,0.4732143,0.4732143,0.47098213,0.47098213,0.37317777,3460800
1981-02-12,0.46875,0.46875,0.46651787,0.46651787,0.36964062,3640000
1981-02-13,0.45982143,0.45982143,0.45535713,0.45535713,0.36079761,2788800
1981-02-17,0.46651787,0.46875,0.46651787,0.46651787,0.36964062,3068800
1981-02-18,0.48660713,0.49107143,0.48660713,0.48660713,0.38555816,4810400
1981-02-19,0.45982143,0.45982143,0.4575893,0.4575893,0.36256605,5577600
1981-02-20,0.43526787,0.43526787,0.4330357,0.4330357,0.34311134,6092800
1981-02-23,0.43973213,0.4419643,0.43973213,0.43973213,0.34841722,3528000
1981-02-24,0.42857143,0.42857143,0.42410713,0.42410713,0.33603683,4244800
1981-02-25,0.45089287,0.453125,0.45089287,0.45089287,0.35726029,4872000
1981-02-26,0.4575893,0.45982143,0.4575893,0.4575893,0.36256605,2710400
1981-02-27,0.4732143,0.47767857,0.4732143,0.4732143,0.37494645,3690400
1981-03-02,0.47544643,0.47767857,0.47544643,0.47544643,0.37671515,2940000
1981-03-03,0.47098213,0.47098213,0.46875,0.46875,0.37140933,4043200
1981-03-04,0.46651787,0.46651787,0.4642857,0.4642857,0.367872,3427200
1981-03-05,0.4642857,0.4642857,0.46205357,0.46205357,0.36610335,1344000
1981-03-06,0.46205357,0.46205357,0.4575893,0.4575893,0.36256605,2900800
1981-03-09,0.42410713,0.42410713,0.421875,0.421875,0.33426827,3830400
1981-03-10,0.40401787,0.40401787,0.4017857,0.4017857,0.31835085,7095200
1981-03-11,0.390625,0.390625,0.3861607,0.3861607,0.30597043,7464800
1981-03-12,0.4017857,0.40401787,0.4017857,0.4017857,0.31835085,14812000
1981-03-13,0.39955357,0.39955357,0.39732143,0.39732143,0.31481367,57825600
1981-03-16,0.41294643,0.4174107,0.41294643,0.41294643,0.32719383,9307200
1981-03-17,0.4330357,0.4375,0.4330357,0.4330357,0.34311134,10936800
1981-03-18,0.45982143,0.4642857,0.45982143,0.45982143,0.36433476,9234400
1981-03-19,0.4575893,0.4575893,0.45535713,0.45535713,0.36079761,9452800
1981-03-20,0.45982143,0.4642857,0.45982143,0.45982143,0.36433476,3651200
1981-03-23,0.47767857,0.48214287,0.47767857,0.47767857,0.37848371,5504800
1981-03-24,0.47767857,0.47767857,0.47544643,0.47544643,0.37671515,7039200
1981-03-25,0.47098213,0.47098213,0.46651787,0.46651787,0.36964062,1764000
1981-03-26,0.45982143,0.45982143,0.4575893,0.4575893,0.36256605,3068800
1981-03-27,0.44419643,0.44419643,0.4419643,0.4419643,0.35018584,3063200
1981-03-30,0.4419643,0.44642857,0.4419643,0.4419643,0.35018584,2475200
1981-03-31,0.4419643,0.4419643,0.4375,0.4375,0.34664866,3998400
1981-04-01,0.43526787,0.43526787,0.4330357,0.4330357,0.34311134,8517600
1981-04-02,0.47098213,0.4732143,0.47098213,0.47098213,0.37317777,7851200
1981-04-03,0.4732143,0.47544643,0.4732143,0.4732143,0.37494645,4121600
1981-04-06,0.46651787,0.46651787,0.4642857,0.4642857,0.367872,5700800
1981-04-07,0.46205357,0.46205357,0.45982143,0.45982143,0.36433476,2671200
1981-04-08,0.48214287,0.48660713,0.48214287,0.48214287,0.38202092,5488000
1981-04-09,0.49107143,0.49330357,0.49107143,0.49107143,0.38909549,3124800
1981-04-10,0.49776787,0.5,0.49776787,0.49776787,0.39440116,8366400
1981-04-13,0.49776787,0.5,0.49776787,0.49776787,0.39440116,4015200
1981-04-14,0.49776787,0.5,0.49776787,0.49776787,0.39440116,1663200
1981-04-15,0.47544643,0.47544643,0.4732143,0.4732143,0.37494645,8512000
1981-04-16,0.4486607,0.4486607,0.44642857,0.44642857,0.35372302,5969600
1981-04-20,0.45982143,0.46205357,0.45982143,0.45982143,0.36433476,8836800
1981-04-21,0.49107143,0.49330357,0.49107143,0.49107143,0.38909549,7134400
1981-04-22,0.5089286,0.51116073,0.5089286,0.5089286,0.40324429,4748800
1981-04-23,0.5223214,0.5245536,0.5223214,0.5223214,0.41385603,14504000
1981-04-24,0.5223214,0.5223214,0.51785713,0.51785713,0.41031882,8764000
1981-04-27,0.515625,0.515625,0.51339287,0.51339287,0.40678155,9632000
1981-04-28,0.5066964,0.5066964,0.50446427,0.50446427,0.39970708,8047200
1981-04-29,0.5,0.5,0.49776787,0.49776787,0.39440116,3410400
1981-04-30,0.5066964,0.51116073,0.5066964,0.5066964,0.40147573,3152800
1981-05-01,0.5066964,0.51116073,0.5066964,0.5066964,0.40147573,4138400
1981-05-04,0.5066964,0.5066964,0.50446427,0.50446427,0.39970708,3612000
1981-05-05,0.50446427,0.50446427,0.50223213,0.50223213,0.39793849,4384800
1981-05-06,0.49107143,0.49107143,0.4888393,0.4888393,0.38732684,4737600
1981-05-07,0.4955357,0.49776787,0.4955357,0.4955357,0.39263257,2340800
1981-05-08,0.5,0.50223213,0.5,0.5,0.3961699,1976800
1981-05-11,0.49107143,0.49107143,0.4888393,0.4888393,0.38732684,2984800
1981-05-12,0.4888393,0.4955357,0.4888393,0.4888393,0.38732684,1064000
1981-05-13,0.4888393,0.49330357,0.48660713,0.48660713,0.38555816,1226400
1981-05-14,0.484375,0.484375,0.4799107,0.4799107,0.38025227,1232000
1981-05-15,0.49107143,0.49776787,0.49107143,0.49107143,0.38909549,1226400
1981-05-18,0.5,0.50446427,0.5,0.5,0.3961699,1041600
1981-05-19,0.49330357,0.49330357,0.49107143,0.49107143,0.38909549,6356000
1981-05-20,0.5066964,0.51116073,0.5066964,0.5066964,0.40147573,3320800
1981-05-21,0.53571427,0.5379464,0.53571427,0.53571427,0.42446759,8052800
1981-05-22,0.56026787,0.56473213,0.56026787,0.56026787,0.44392246,7856800
1981-05-26,0.56026787,0.56026787,0.55803573,0.55803573,0.44215372,21336000
1981-05-27,0.58928573,0.59151787,0.58928573,0.58928573,0.46691453,37374400
1981-05-28,0.58928573,0.59151787,0.58928573,0.58928573,0.46691453,18496800
1981-05-29,0.59151787,0.59375,0.59151787,0.59151787,0.46868297,14845600
1981-06-01,0.59151787,0.59375,0.59151787,0.59151787,0.46868297,12812800
1981-06-02,0.56473213,0.56473213,0.5625,0.5625,0.44569105,10108000
1981-06-03,0.5625,0.56696427,0.5625,0.5625,0.44569105,9861600
1981-06-04,0.57366073,0.57589287,0.57366073,0.57366073,0.45453414,14016800
1981-06-05,0.56696427,0.56696427,0.56473213,0.56473213,0.44745976,14420000
1981-06-08,0.546875,0.546875,0.54464287,0.54464287,0.43154207,23374400
1981-06-09,0.5558036,0.55803573,0.5558036,0.5558036,0.44038525,29898400
1981-06-10,0.5625,0.5691964,0.5625,0.5625,0.44569105,6305600
1981-06-11,0.5870536,0.58928573,0.5870536,0.5870536,0.46514589,9744000
1981-06-12,0.58258927,0.58258927,0.58035713,0.58035713,0.45983988,6451200
1981-06-15,0.58035713,0.58035713,0.578125,0.578125,0.45807135,35940800
1981-06-16,0.5691964,0.5691964,0.56696427,0.56696427,0.44922829,9312800
1981-06-17,0.56026787,0.56026787,0.55803573,0.55803573,0.44215372,6893600
1981-06-18,0.55803573,0.56026787,0.5558036,0.5558036,0.44038525,5762400
1981-06-19,0.54241073,0.54241073,0.5401786,0.5401786,0.42800483,6876800
1981-06-22,0.5223214,0.5223214,0.52008927,0.52008927,0.41208738,2710400
1981-06-23,0.52901787,0.53348213,0.52901787,0.52901787,0.41916189,3757600
1981-06-24,0.52008927,0.52008927,0.515625,0.515625,0.40855029,5756800
1981-06-25,0.52678573,0.52901787,0.52678573,0.52678573,0.41739315,6064800
1981-06-26,0.5245536,0.5245536,0.52008927,0.52008927,0.41208738,5947200
1981-06-29,0.5066964,0.5066964,0.50223213,0.50223213,0.39793849,2648800
1981-06-30,0.46651787,0.46651787,0.4642857,0.4642857,0.367872,8976800
1981-07-01,0.46205357,0.46205357,0.45982143,0.45982143,0.36433476,42616000
1981-07-02,0.45982143,0.46205357,0.45982143,0.45982143,0.36433476,7571200
1981-07-06,0.4486607,0.4486607,0.44419643,0.44419643,0.35195446,4132800
1981-07-07,0.4486607,0.453125,0.4486607,0.4486607,0.35549176,3959200
1981-07-08,0.46651787,0.46875,0.46651787,0.46651787,0.36964062,4155200
1981-07-09,0.4330357,0.4330357,0.43080357,0.43080357,0.34134275,8220800
1981-07-10,0.39955357,0.39955357,0.39732143,0.39732143,0.31481367,13792800
1981-07-13,0.40625,0.40848213,0.40625,0.40625,0.32188812,11435200
1981-07-14,0.42410713,0.42857143,0.42410713,0.42410713,0.33603683,4944800
1981-07-15,0.43526787,0.4375,0.43526787,0.43526787,0.34488004,2738400
1981-07-16,0.44642857,0.45089287,0.44642857,0.44642857,0.35372302,3808000
1981-07-17,0.46205357,0.4642857,0.46205357,0.46205357,0.36610335,4956000
1981-07-20,0.4330357,0.4330357,0.43080357,0.43080357,0.34134275,5913600
1981-07-21,0.43080357,0.43080357,0.42857143,0.42857143,0.33957416,7985600
1981-07-22,0.40848213,0.40848213,0.40401787,0.40401787,0.32011938,5667200
1981-07-23,0.41517857,0.4174107,0.41517857,0.41517857,0.32896245,8612800
1981-07-24,0.42857143,0.43080357,0.42857143,0.42857143,0.33957416,7212800
1981-07-27,0.44642857,0.4486607,0.44642857,0.44642857,0.35372302,4334400
1981-07-28,0.4330357,0.4330357,0.43080357,0.43080357,0.34134275,5712000
1981-07-29,0.4263393,0.4263393,0.42410713,0.42410713,0.33603683,3875200
1981-07-30,0.43973213,0.44419643,0.43973213,0.43973213,0.34841722,2475200
